Time, v1, v2, v3, v4, CarPosX, CarPosY, CarPosZ, Angle
0.096401, -99.75264, -99.75264, -99.75471, -99.75471, 2.625355E-06, 0.01687763, 0.0008210223, 0.002140447
0.2074516, -99.86631, -99.86631, -99.86631, -99.86631, 1.190939E-06, 0.01732208, 0.006027531, -0.0003982687
0.3237396, -99.91228, -99.91228, -99.91228, -99.91228, 1.093814E-05, 0.01729942, 0.01285454, 0.004210619
0.4242463, -99.93844, -99.93844, -99.93844, -99.93844, 1.663865E-05, 0.01729059, 0.01894926, 0.006854828
0.5399187, -99.95927, -99.95927, -99.95944, -99.95944, 2.830406E-05, 0.01750366, 0.02434363, 0.01151392
0.655883, -99.97294, -99.97294, -99.97317, -99.97317, 3.415524E-05, 0.01752113, 0.031687, 0.01341615
0.7709349, -99.98209, -99.98209, -99.98217, -99.98217, 3.625118E-05, 0.01750389, 0.0392043, 0.01402919
0.8860174, -99.988, -99.988, -99.98811, -99.98811, 2.266209E-05, 0.01736811, 0.04688292, 0.007151125
1.000002, -149.1531, -149.1531, -149.9594, -149.9594, 6.255754E-06, 0.01731981, 0.05648541, -0.002725476
1.11356, -173.705, -173.705, -173.8425, -173.8425, 6.533974E-06, 0.01739199, 0.06650528, -0.003006398
1.255994, -179.1861, -179.1861, -179.2846, -179.2846, 3.895339E-05, 0.01754187, 0.08153439, 0.01243606
1.358136, -189.5638, -189.5638, -189.6083, -189.6083, 3.295504E-05, 0.01756009, 0.09328425, 0.007725653
1.46166, -192.7558, -192.7558, -192.7864, -192.7864, 3.408808E-05, 0.01754557, 0.1075017, 0.002385895
1.57888, -195.0672, -195.0672, -195.0879, -195.0879, 5.415723E-05, 0.01757566, 0.1192786, 0.01495245
1.681852, -196.5964, -196.5964, -196.6107, -196.6107, 6.358387E-05, 0.01762355, 0.1334414, 0.0149661
1.784264, -197.6213, -197.6213, -197.6213, -197.6213, 7.31218E-05, 0.01755459, 0.1452778, 0.015561
1.894725, -198.3584, -198.3584, -198.3722, -198.3722, 5.7518E-05, 0.01762225, 0.1572939, 0.002767935
1.998813, -198.8479, -198.8479, -198.8527, -198.8527, 8.136369E-05, 0.01758297, 0.1694962, 0.01456
2.103313, -199.1845, -199.1845, -199.1879, -199.1879, 9.258698E-05, 0.01715596, 0.1850363, 0.017314
2.205131, -245.591, -245.591, -245.591, -245.591, 9.733021E-05, 0.01741277, 0.1980017, 0.02092978
2.313351, -269.4702, -269.4702, -269.6421, -269.6421, 8.93828E-05, 0.01758651, 0.2140964, 0.00574333
2.426199, -279.6746, -279.6746, -279.6746, -279.6746, 0.0001056594, 0.01761471, 0.2348275, 0.01376336
2.53349, -286.4731, -286.4731, -286.5899, -286.5899, 0.0001068493, 0.01734487, 0.2526585, 0.007295934
2.634145, -290.1524, -290.1524, -290.1942, -290.1942, 0.0001263053, 0.01759897, 0.2705204, 0.01787526
2.739429, -292.9249, -292.9249, -292.9548, -292.9548, 5.438926E-05, 0.01748478, 0.289442, 359.9756
2.844894, -294.8454, -294.8454, -294.8887, -294.8887, 3.7918E-05, 0.01699416, 0.3126101, 359.9697
2.951749, -296.3369, -296.3369, -296.3676, -296.3676, 6.53321E-05, 0.01772489, 0.3305755, 359.9924
3.056, -297.3185, -297.3185, -297.3298, -297.3298, 0.0001082349, 0.01756127, 0.349635, 0.01022967
3.194787, -297.9867, -297.9867, -298.0036, -298.0036, 0.000127562, 0.01724808, 0.3760146, 0.01839722
3.297426, -298.76, -298.76, -298.7653, -298.7653, 0.0001473267, 0.01759368, 0.3943318, 0.02104245
3.400047, -299.0999, -299.0999, -299.1074, -299.1074, 0.0001844153, 0.01776154, 0.4166766, 0.03396209
